A,B,C,D,Dc,Min.IR,Avg.IR,Dif.RABC,  Std.RABC,Max.TIE
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.5, 0.5]}","{'element': ['Al'], 'price': 3}",O12,6,0.39,1.089173,0.52382,-0.0732928,55.12003
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al'], 'price': 2}","{'element': ['Al', 'Ga'], 'price': [2.5, 0.5]}",O12,6,0.39,1.089048,0.52432,-0.0594928,55.12003
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.5, 0.5]}","{'element': ['Al', 'Ga'], 'price': [2.5, 0.5]}",O12,6,0.39,1.091173,0.51582,-0.0679928,55.12003
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.0, 1.0]}","{'element': ['Al'], 'price': 3}",O12,6,0.39,1.091298,0.51532,-0.0834928,55.12003
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al'], 'price': 2}","{'element': ['Al', 'Ga'], 'price': [2.0, 1.0]}",O12,6,0.39,1.091048,0.51632,-0.0526928,55.12003
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.0, 1.0]}","{'element': ['Al'], 'price': 3}",O12,6,0.39,1.092222,0.52148,-0.0742,55.12003
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Sc'], 'price': [1.5, 0.5]}","{'element': ['Al'], 'price': 3}",O12,6,0.39,1.092298,0.51132,-0.0882928,55.12003
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.5, 0.5]}","{'element': ['Al', 'Ga'], 'price': [2.5, 0.5]}",O12,6,0.39,1.092097,0.52198,-0.0587,55.12003
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al'], 'price': 2}","{'element': ['Al', 'In'], 'price': [2.5, 0.5]}",O12,6,0.39,1.092798,0.50932,-0.0744928,55.12003
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.0, 1.0]}","{'element': ['Al', 'Ga'], 'price': [2.5, 0.5]}",O12,6,0.39,1.093298,0.50732,-0.0770928,55.12003
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Ga'], 'price': [0.5, 1.5]}","{'element': ['Al'], 'price': 3}",O12,6,0.39,1.093423,0.50682,-0.0936928,55.12003
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.5, 0.5]}","{'element': ['Al', 'Ga'], 'price': [2.0, 1.0]}",O12,6,0.39,1.093173,0.50782,-0.0604928,55.12003
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al'], 'price': 2}","{'element': ['Al', 'Ga'], 'price': [2.0, 1.0]}",O12,6,0.39,1.091972,0.52248,-0.0434,55.12003
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al'], 'price': 2}","{'element': ['Al', 'In'], 'price': [2.5, 0.5]}",O12,6,0.39,1.093722,0.51548,-0.0652,55.12003
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al', 'Ga'], 'price': [0.5, 1.5]}","{'element': ['Al'], 'price': 3}",O12,6,0.39,1.094347,0.51298,-0.0844,55.12003
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.0, 1.0]}","{'element': ['Al', 'Ga'], 'price': [2.5, 0.5]}",O12,6,0.39,1.094222,0.51348,-0.0678,55.12003
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al'], 'price': 2}","{'element': ['Al', 'Ga'], 'price': [1.5, 1.5]}",O12,6,0.39,1.093048,0.50832,-0.0438928,55.12003
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Sc'], 'price': [1.5, 0.5]}","{'element': ['Al', 'Ga'], 'price': [2.5, 0.5]}",O12,6,0.39,1.094298,0.50332,-0.0818928,55.12003
"{'element': ['Lu', 'Ce'], 'price': [2.96, 0.04]}","{'element': ['Al', 'Ga'], 'price': [1.5, 0.5]}","{'element': ['Al'], 'price': 3}",O12,4,0.39,1.089007,0.522713333,-0.075432356,55.12003
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.5, 0.5]}","{'element': ['Al', 'Ga'], 'price': [2.0, 1.0]}",O12,6,0.39,1.094097,0.51398,-0.0512,55.12003
