Min.IR,Avg.IR,  Dif.RABC,IRM,Max.TIE ,Avg.TIE ,Std.TIE ,Wavelength
0.39,1.093222,0.57348,0.121687929,55.12003,43.35452028,14.15399666,536
0.26,1.098772,0.679813333,0.121687929,55.12003,44.707855,12.49461,533
0.26,1.106772,0.733146667,0.121687929,55.12003,44.364135,12.907074,530
0.26,1.091462,0.63108,0.121687929,55.12003,45.075495,12.6543745,538
0.39,1.0946345,0.582896667,0.109349725,55.12003,43.3073406,14.17522728,556
0.39,1.096326,0.594173333,0.09728,55.12003,43.3171712,14.16343056,564
0.39,1.0977202,0.603468,0.121687929,55.12003,43.32271648,14.15677622,578
0.39,1.097222,0.55748,0.121687929,55.12003,43.409934,14.0521152,521
0.39,1.101222,0.54148,0.121687929,55.12003,43.523294,13.9160832,512
0.47,1.105222,0.52548,0.121687929,55.12003,43.636654,13.7800512,505
0.47,1.109472,0.50848,0.121687929,55.12003,43.750014,13.6440192,500
0.47,1.113722,0.49148,0.121687929,55.12003,43.863374,13.5079872,493
0.26,1.11471,0.700733333,0.121687929,55.12003,44.591063,12.6347604,517
0.39,1.096309,0.59406,0.099038462,55.12003,43.5136636,13.92763968,544
0.26,1.097959,0.58746,0.099038462,80.42324,45.2218648,13.98988075,575
0.39,1.105086,0.45524,0.121687929,80.42324,52.345204,11.753202,558
0.26,1.095336,0.49424,0.121687929,80.42324,52.290604,11.835102,570
0.26,1.098443,0.54962,0.121687929,80.42324,48.991514,13.6405644,600
0.26,1.095972,0.56248,0.121687929,80.42324,46.143576,14.1997112,597
0.26,1.079114,0.519426667,0.169907881,80.42324,49.4618436,12.98210296,575
0.26,1.089798,0.52132,0.169907881,80.42324,46.2567072,14.05264064,560
0.26,1.091898,0.53532,0.169907881,80.42324,46.2182272,14.10266464,588
0.26,1.093998,0.54932,0.169907881,80.42324,46.1797472,14.15268864,594
0.26,1.099048,0.48432,0.169907881,80.42324,48.8504687,13.83802782,578
0.26,1.110615,0.673433333,0.169907881,55.12003,44.666099,12.5447172,500
0.39,1.087048,0.53232,0.169907881,55.12003,43.4097052,14.05238976,507
0.26,1.102698,0.705986667,0.169907881,55.12003,44.4387862,12.81749256,513
0.39,1.0935706,0.575804,0.117739096,55.12003,43.3605184,14.11141392,548
0.26,1.112462,0.54708,0.121687929,55.12003,44.705255,13.1356865,532
0.26,1.099962,0.59708,0.121687929,55.12003,45.302215,12.3596385,526
0.26,1.087449,0.604326667,0.169907881,55.12003,45.1508846,12.55636802,538
0.26,1.087366,0.603773333,0.169907881,55.12003,45.1514774,12.55559738,535
0.26,1.108319,0.67146,0.020535714,80.42324,50.94738007,7.995173248,550
0.26,1.104458,0.64572,0.169907881,80.42324,50.1448534,9.223642564,559
0.26,1.10193,0.628866667,0.169907881,80.42324,49.548018,10.081297,569
0.26,1.1063845,0.651896667,0.020535714,80.42324,48.84198229,9.666701059,525
0.26,1.1095345,0.66623,0.020535714,55.12003,48.21486179,9.138579448,504
0.26,1.1290115,0.588076667,0.020535714,55.12003,48.3549706,8.934296258,491
0.26,1.128046,0.592306667,0.020535714,55.12003,47.74180638,9.843400376,481
0.39,1.119516,0.55144,0.169907881,55.12003,45.3863174,12.82015564,480
0.39,1.121574,0.56516,0.121687929,55.12003,45.348607,12.8729502,485
0.39,1.115916,0.566906667,0.121687929,55.12003,44.7881588,13.40571123,514
0.39,1.12324,0.576266667,0.085470085,55.12003,45.3582894,12.85939484,500
0.39,1.120636,0.569573333,0.020535714,55.12003,45.829599,12.1995614,493
0.39,1.1274575,0.61505,0.014655172,55.12003,45.315457,12.9193602,515
0.26,1.11900575,0.628038333,0.020535714,55.12003,47.6003768,10.06717458,481
0.39,1.1226,0.582666667,0.085470085,55.12003,45.387035,12.819151,514
0.26,1.099283,0.55522,0.169907881,80.42324,50.8824742,11.0134547,574
0.26,1.102533,0.54222,0.169907881,80.42324,50.9006742,10.9861547,565
0.39,1.112283,0.50322,0.169907881,80.42324,50.9552742,10.9042547,560
0.26,1.093696,0.587306667,0.169907881,80.42324,50.8395534,11.0778359,601
0.39,1.1654415,0.66561,0.092857143,55.12003,46.8334766,9.943864086,513
0.39,1.1024245,0.46683,0.169907881,55.12003,43.1346928,14.38240464,520
0.39,1.120683,0.545886667,0.169907881,55.12003,45.9154707,12.07934102,472
0.47,1.140449,0.562993333,0.014655172,55.12003,46.074969,11.8560434,515
0.39,1.123422,0.45268,0.121687929,55.12003,43.082062,14.4455616,503
0.47,1.110085,0.5579,0.085470085,55.12003,43.6666216,13.74409008,545
0.26,1.0938456,0.574704,0.117739096,80.42324,43.6452186,14.13755389,556
0.26,1.0939831,0.574154,0.117739096,80.42324,43.7875687,14.14848863,561
0.26,1.092318,0.57812,0.121687929,55.12003,43.26696,14.03596375,558
0.26,1.0940095,0.589396667,0.109349725,55.12003,43.2767906,14.02416703,569
0.26,1.095701,0.600673333,0.09728,55.12003,43.2866212,14.01237031,575
0.26,1.077772,0.58248,0.121687929,80.42324,46.419176,13.0905502,570
0.26,1.099928804,0.66623,0.020535714,55.12003,46.30852181,8.89096787,504
0.26,1.092972,0.57608,0.121687929,55.12003,43.284354,14.1277231,580
0.26,1.0941,0.5836,0.121687929,55.12003,43.2736212,14.14060246,590
0.39,1.092826196,0.5772,0.121687929,55.12003,43.09185856,14.13412479,536
0.26,1.092171285,0.5798,0.121687929,55.12003,43.11737398,14.10366054,548
0.26,1.090861461,0.585,0.121687929,55.12003,43.16840481,14.04273204,557
0.26,1.089551637,0.5902,0.121687929,55.12003,43.21943564,13.98180354,545
